text,label
"Dear Omar, thank you for your recent donation to our organization. Your support helps us continue our community programs throughout the year.",legitimate
"Dear Sara, we wanted to let you know that your recent return has been processed successfully. A refund of the item price will appear in your account within 5-7 business days.",legitimate
"Dear Customer, your Microsoft account has been suspended due to unusual activity. Click here immediately to verify your identity: http://login-alert-update.net/verify or your account will be permanently closed within 24 hours.",phishing
"Dear Chris, we're reaching out to share our updated privacy policy which will take effect next month. You can read the full details on our website at your convenience.",legitimate
Your Google payment information could not be verified. Please update your billing details within 24 hours at http://account-confirm-now.info/billing or your subscription will be cancelled.,phishing
"Hello, just checking in to see how the project is progressing. Let me know if there are any blockers I can help remove before the sprint review on Friday.",legitimate
"Dear Michael, your parcel from PayPal could not be delivered due to unpaid customs fees. Pay the small fee here to release your package: http://secure-verify-account.com/customs-fee",phishing
Congratulations! You have been selected to receive a $1000 American Express gift card. Claim your prize now by clicking this link: http://secure-verify-account.com/claim before it expires today.,phishing
"Hi Omar, this is a confirmation that your appointment has been booked for next Tuesday at 3 PM. Please let us know if you need to reschedule.",legitimate
Your mailbox has exceeded its storage limit. Click here to upgrade and verify your email account at http://security-check-alert.com/upgrade or you will lose access within 48 hours.,phishing
Final Notice: Your FedEx invoice #31178 is overdue. Pay immediately to avoid legal action. Click here to settle your balance: http://login-alert-update.net/pay-now,phishing
URGENT: We detected a login attempt from an unrecognized device on your Apple account. Confirm your password now at http://secure-verify-account.com/confirm to prevent unauthorized access.,phishing
"Hello Sarah, thank you for signing up for the Microsoft webinar. Here is the calendar invite and the link to join on the scheduled date and time.",legitimate
"Hi Linda, IT support here. Your password expires today. Please log in immediately at http://update-billing-info.net/it-login to avoid being locked out of the company system.",phishing
"Hi Anna, your monthly statement from Wells Fargo is now available in your account. You can download it as a PDF from the billing section whenever convenient.",legitimate
ALERT: Your Dropbox password will expire in 24 hours. Click here to reset it now: http://login-alert-update.net/reset-password and keep your account active.,phishing
"Hi team, please find attached the meeting notes from today's project sync. Let me know if I missed anything, and I'll update the shared document accordingly.",legitimate
"Hi Linda, congratulations on completing the onboarding process at Wells Fargo! Your manager will be in touch shortly to discuss your first week schedule.",legitimate
Your Spotify payment information could not be verified. Please update your billing details within 24 hours at http://secure-verify-account.com/billing or your subscription will be cancelled.,phishing
"Dear John, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://update-billing-info.net/security-check to avoid suspension.",phishing
"Dear valued customer, DHL requires you to re-confirm your account information due to a recent security update. Failure to respond within 24 hours will result in account closure. Verify now: http://update-billing-info.net/reconfirm",phishing
